ncl,tex,tau
1,19.76,0.1336
2,19.63,0.193
3,20.94,0.1795
4,16.77,0.2294
5,19.52,0.1735
6,16.2,0.1609
7,9.911,0.3615
8,12.4,0.1611
9,11.48,0.2167
10,13.21,0.3447
11,12.92,0.2386
12,12.96,0.1452
13,13.16,0.2607
14,12.99,0.1438
15,14.71,0.2297
16,13.33,0.1414
17,18.59,0.1341
18,9.795,0.261
19,14.26,0.1235
20,12.64,0.1934
21,11.03,0.3141
22,17.83,0.14
23,15.04,0.1682
24,12.5,0.3732
25,11.67,0.1707
26,11.29,0.1761
27,9.551,0.2352
28,17.47,0.1536
29,15.97,0.1588
30,16.17,0.163
31,8.421,0.6724
32,14.3,0.2057
33,12.64,0.2668
34,11.78,0.1525
35,10.56,0.2207
36,12.46,0.3513
37,17.65,0.1275
38,17.9,0.1192
39,11.25,0.1691
40,13.67,0.1149
41,10.5,0.2288
42,12.94,0.1232
43,11.1,0.2317
44,16.08,0.1575
45,13.34,0.133
46,19.69,0.0689
47,8.344,0.3432
48,14.73,0.2171
49,17.97,0.1645
50,10.4,0.1866
51,18.42,0.1552
52,10.29,0.1857
